Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.0%  Stub: StoreFastElementStub
      5    0.0%    0.0%  LazyCompile: ~sendTrackUpdateToSeqLoop /home/pi/nodeMidi/FireSequencer.js:1823:34
      5    0.0%    0.0%  LazyCompile: ~Timeout internal/timers.js:55:17
      5    0.0%    0.0%  LazyCompile: ~ArraySpeciesCreate native array.js:13:28
      5    0.0%    0.0%  LazyCompile: ~<anonymous> /home/pi/nodeMidi/FireSequencer.js:1089:29
      5    0.0%    0.0%  LazyCompile: *parse /home/pi/nodeMidi/node_modules/js-message/Message.js:54:19
      5    0.0%    0.0%  LazyCompile: *ontimeout timers.js:429:19
      5    0.0%    0.0%  Builtin: ObjectPrototypeToString
      5    0.0%    0.0%  Builtin: HasProperty
      5    0.0%    0.0%  Builtin: FastNewObject
      4    0.0%    0.0%  LazyCompile: ~updateAllNotGridBtnLEDS /home/pi/nodeMidi/FireSequencer.js:2209:33
      4    0.0%    0.0%  LazyCompile: ~isEmpty internal/fixed_queue.js:91:10
      4    0.0%    0.0%  LazyCompile: ~exports.active timers.js:151:41
      4    0.0%    0.0%  LazyCompile: ~TickObject internal/process/next_tick.js:74:16
      4    0.0%    0.0%  LazyCompile: ~SimpleMove native array.js:212:20
      4    0.0%    0.0%  LazyCompile: ~Readable.push _stream_readable.js:207:35
      4    0.0%    0.0%  LazyCompile: ~ComputeSpliceDeleteCount native array.js:441:34
      4    0.0%    0.0%  LazyCompile: *nextTick internal/process/next_tick.js:96:20
      4    0.0%    0.0%  LazyCompile: *SimpleMove native array.js:212:20
      4    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:391:35
      4    0.0%    0.0%  Builtin: StringPrototypeSplit
      4    0.0%    0.0%  Builtin: StringAdd_ConvertRight_NotTenured
      4    0.0%    0.0%  Builtin: FastNewClosure
      3    0.0%    0.0%  LazyCompile: ~pushAsyncIds internal/async_hooks.js:389:22
      3    0.0%    0.0%  LazyCompile: ~log /home/pi/nodeMidi/node_modules/node-ipc/services/IPC.js:64:13
      3    0.0%    0.0%  LazyCompile: ~isFull internal/fixed_queue.js:67:9
      3    0.0%    0.0%  LazyCompile: ~initAsyncResource internal/timers.js:45:27
      3    0.0%    0.0%  LazyCompile: ~emitPromiseRejectionWarnings internal/process/promises.js:119:38
      3    0.0%    0.0%  LazyCompile: ~clearOLEDmemMap /home/pi/nodeMidi/FireSequencer.js:2376:25
      3    0.0%    0.0%  LazyCompile: ~TimersList timers.js:195:20
      3    0.0%    0.0%  LazyCompile: ~Socket._read net.js:527:34
      3    0.0%    0.0%  LazyCompile: ~PlotStringToPixelMemMap /home/pi/nodeMidi/FireSequencer.js:2001:33
      3    0.0%    0.0%  Builtin: ToLength
      3    0.0%    0.0%  Builtin: StringToNumber
      3    0.0%    0.0%  Builtin: StringSubstring
      3    0.0%    0.0%  Builtin: StoreGlobalIC
      3    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      3    0.0%    0.0%  Builtin: CreateTypedArray
      3    0.0%    0.0%  Builtin: AsyncFunctionPromiseRelease
      2    0.0%    0.0%  Stub: StoreFastElementStub {3}
      2    0.0%    0.0%  Stub: StoreFastElementStub {1}
      2    0.0%    0.0%  LazyCompile: ~shift internal/fixed_queue.js:76:8
      2    0.0%    0.0%  LazyCompile: ~resolve path.js:1068:28
      2    0.0%    0.0%  LazyCompile: ~push internal/fixed_queue.js:95:7
      2    0.0%    0.0%  LazyCompile: ~push internal/fixed_queue.js:71:7
      2    0.0%    0.0%  LazyCompile: ~popAsyncIds internal/async_hooks.js:402:21
      2    0.0%    0.0%  LazyCompile: ~parse /home/pi/nodeMidi/node_modules/node-ipc/entities/EventParser.js:25:8
      2    0.0%    0.0%  LazyCompile: ~listOnTimeout timers.js:226:23
      2    0.0%    0.0%  LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:150:34
      2    0.0%    0.0%  LazyCompile: ~ComputeSpliceStartIndex native array.js:434:33
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /home/pi/nodeMidi/FireSequencer.js:2220:37
