Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::PrependElementIndices(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::FixedArrayBase>, v8::internal::Handle<v8::internal::FixedArray>, v8::internal::GetKeysConversion, v8::internal::PropertyFilter)
      3    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::Delete(v8::internal::Handle<v8::internal::JSObject>, unsigned int)
      3    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::Get(v8::internal::Handle<v8::internal::JSObject>, unsigned int)
      3    0.0%    0.0%  v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)
      3    0.0%    0.0%  v8::Context::GetNumberOfEmbedderDataFields()
      3    0.0%    0.0%  uv_update_time
      3    0.0%    0.0%  uv__run_prepare
      3    0.0%    0.0%  node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  memchr
      3    0.0%    0.0%  __pthread_disable_asynccancel
      3    0.0%    0.0%  __aeabi_uidivmod
      3    0.0%    0.0%  __adddf3
      2    0.0%    0.0%  void v8::internal::BodyDescriptorBase::IteratePointers<v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState> >(v8::internal::HeapObject*, int, int, v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>*)
      2    0.0%    0.0%  v8::internal::libc_memchr(void*, int, unsigned int)
      2    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayWriter::EmitBytecode(v8::internal::interpreter::BytecodeNode const*)
      2    0.0%    0.0%  v8::internal::compiler::Typer::Visitor::Reduce(v8::internal::compiler::Node*)
      2    0.0%    0.0%  v8::internal::compiler::LinearScanAllocator::AllocateRegisters()
      2    0.0%    0.0%  v8::internal::compiler::JSTypedLowering::Reduce(v8::internal::compiler::Node*)
      2    0.0%    0.0%  v8::internal::compiler::BytecodeAnalysis::Analyze(v8::internal::BailoutId)
      2    0.0%    0.0%  v8::internal::TranslatedState::TranslatedState(v8::internal::JavaScriptFrame const*)
      2    0.0%    0.0%  v8::internal::String::IsFlat()
      2    0.0%    0.0%  v8::internal::StackFrameIterator::Advance()
      2    0.0%    0.0%  v8::internal::SpaceWithLinearArea::StartNextInlineAllocationStep()
      2    0.0%    0.0%  v8::internal::SimpleStringBuilder::AddSubstring(char const*, int)
      2    0.0%    0.0%  v8::internal::Scavenger::IterateAndScavengePromotedObject(v8::internal::HeapObject*, int)
      2    0.0%    0.0%  v8::internal::Scanner::SkipWhiteSpace()
      2    0.0%    0.0%  v8::internal::Scanner::ScanIdentifierOrKeywordInner(v8::internal::Scanner::LiteralScope*)
      2    0.0%    0.0%  v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.0%    0.0%  v8::internal::Runtime_ArraySpeciesConstructor(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.0%    0.0%  v8::internal::RuntimeProfiler::ShouldOptimize(v8::internal::JSFunction*, v8::internal::JavaScriptFrame*)
      2    0.0%    0.0%  v8::internal::Runtime::DeleteObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
      2    0.0%    0.0%  v8::internal::OrderedHashTable<v8::internal::OrderedHashSet, 1>::Allocate(v8::internal::Isolate*, int, v8::internal::PretenureFlag)
      2    0.0%    0.0%  v8::internal::Object::ToUint32(unsigned int*) const
      2    0.0%    0.0%  v8::internal::Object::GetLengthFromArrayLike(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      2    0.0%    0.0%  v8::internal::Object::ConvertToString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      2    0.0%    0.0%  v8::internal::Object::ConvertToName(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      2    0.0%    0.0%  v8::internal::Object::BooleanValue()
      2    0.0%    0.0%  v8::internal::Map::TransitionElementsTo(v8::internal::Handle<v8::internal::Map>, v8::internal::ElementsKind)
      2    0.0%    0.0%  v8::internal::Map::Normalize(v8::internal::Handle<v8::internal::Map>, v8::internal::PropertyNormalizationMode, char const*)
      2    0.0%    0.0%  v8::internal::Map::AsElementsKind(v8::internal::Handle<v8::internal::Map>, v8::internal::ElementsKind)
      2    0.0%    0.0%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>, bool)
      2    0.0%    0.0%  v8::internal::LargeObjectSpace::Contains(v8::internal::HeapObject*)
      2    0.0%    0.0%  v8::internal::KeyAccumulator::IsShadowed(v8::internal::Handle<v8::internal::Object>)
      2    0.0%    0.0%  v8::internal::JsonStringifier::StackPop()
      2    0.0%    0.0%  v8::internal::JsonParser<false>::JsonParser(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      2    0.0%    0.0%  v8::internal::JSTypedArray::GetBuffer()
      2    0.0%    0.0%  v8::internal::JSReceiver::OrdinaryDefineOwnProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyDescriptor*, v8::internal::ShouldThrow)
      2    0.0%    0.0%  v8::internal::JSReceiver::HasFastProperties() const
      2    0.0%    0.0%  v8::internal::JSObject::ValidateElements(v8::internal::JSObject*)
      2    0.0%    0.0%  v8::internal::JSObject::TransitionElementsKind(v8::internal::Handle<v8::internal::JSObject>, v8::internal::ElementsKind)
      2    0.0%    0.0%  v8::internal::JSObject::IsExtensible(v8::internal::Handle<v8::internal::JSObject>)
      2    0.0%    0.0%  v8::internal::JSObject::GetEmbedderFieldCount(v8::internal::Map const*)
      2    0.0%    0.0%  v8::internal::JSObject::CreateDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::ShouldThrow)
      2    0.0%    0.0%  v8::internal::JSFunction::EnsureHasInitialMap(v8::internal::Handle<v8::internal::JSFunction>)
      2    0.0%    0.0%  v8::internal::JSArrayBuffer::Setup(v8::internal::Handle<v8::internal::JSArrayBuffer>, v8::internal::Isolate*, bool, void*, unsigned int, v8::internal::SharedFlag, bool)
      2    0.0%    0.0%  v8::internal::Isolate::SetIdle(bool)
      2    0.0%    0.0%  v8::internal::InterpretedFrame::Summarize(std::vector<v8::internal::FrameSummary, std::allocator<v8::internal::FrameSummary> >*) const
      2    0.0%    0.0%  v8::internal::IdentityMapBase::GetEntry(v8::internal::Object*)
      2    0.0%    0.0%  v8::internal::Heap::UpdateAllocationSite(v8::internal::Map*, v8::internal::HeapObject*, std::unordered_map<v8::internal::AllocationSite*, unsigned int, std::hash<v8::internal::AllocationSite*>, std::equal_to<v8::internal::AllocationSite*>, std::allocator<std::pair<v8::internal::AllocationSite* const, unsigned int> > >*)
      2    0.0%    0.0%  v8::internal::Heap::ReserveSpace(std::vector<v8::internal::Heap::Chunk, std::allocator<v8::internal::Heap::Chunk> >*, std::vector<unsigned int, std::allocator<unsigned int> >*)
      2    0.0%    0.0%  v8::internal::Heap::FullSizeNumberStringCacheLength()
      2    0.0%    0.0%  v8::internal::HashTable<v8::internal::NumberDictionary, v8::internal::NumberDictionaryShape>::FindEntry(v8::internal::Isolate*, unsigned int)
      2    0.0%    0.0%  v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::EnsureCapacity(v8::internal::Handle<v8::internal::NameDictionary>, int, v8::internal::PretenureFlag)
      2    0.0%    0.0%  v8::internal::HandleScope::Extend(v8::internal::Isolate*)
      2    0.0%    0.0%  v8::internal::Handle<v8::internal::FixedArray> v8::internal::Factory::NewFixedArrayWithMap<v8::internal::FixedArray>(v8::internal::Heap::RootListIndex, int, v8::internal::PretenureFlag)
      2    0.0%    0.0%  v8::internal::GlobalHandles::Destroy(v8::internal::Object**)
      2    0.0%    0.0%  v8::internal::FlatStringReader::FlatStringReader(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      2    0.0%    0.0%  v8::internal::FixedArray::FillWithHoles(int, int)
      2    0.0%    0.0%  v8::internal::FieldType::cast(v8::internal::Object*)
      2    0.0%    0.0%  v8::internal::FeedbackVector::New(v8::internal::Isolate*, v8::internal::Handle<v8::internal::SharedFunctionInfo>)
      2    0.0%    0.0%  v8::internal::FeedbackVector::GetKind(v8::internal::FeedbackSlot) const
      2    0.0%    0.0%  v8::internal::FastKeyAccumulator::GetKeysFast(v8::internal::GetKeysConversion)
      2    0.0%    0.0%  v8::internal::Factory::NewJSTypedArray(v8::internal::ExternalArrayType, v8::internal::PretenureFlag)
      2    0.0%    0.0%  v8::internal::Factory::NewFixedTypedArrayWithExternalPointer(int, v8::internal::ExternalArrayType, void*, v8::internal::PretenureFlag)
      2    0.0%    0.0%  v8::internal::Factory::InitializeMap(v8::internal::Map*, v8::internal::InstanceType, int, v8::internal::ElementsKind, int)
      2    0.0%    0.0%  v8::internal::ExternalCallbackScope::~ExternalCallbackScope()
      2    0.0%    0.0%  v8::internal::DoubleToAscii(double, v8::internal::DtoaMode, int, v8::internal::Vector<char>, int*, int*, int*)
      2    0.0%    0.0%  v8::internal::CanonicalHandleScope::Lookup(v8::internal::Object*)
      2    0.0%    0.0%  v8::internal::Builtin_Impl_ArraySplice(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      2    0.0%    0.0%  v8::internal::BaseNameDictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::EnsureCapacity(v8::internal::Handle<v8::internal::NameDictionary>, int)
      2    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastPackedSmiElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)0> >::GetDetails(v8::internal::JSObject*, unsigned int)
      2    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleySmiElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)1> >::GetDetails(v8::internal::JSObject*, unsigned int)
      2    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::CollectElementIndices(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::FixedArrayBase>, v8::internal::KeyAccumulator*)
      2    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::Add(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, unsigned int)
      2    0.0%    0.0%  v8::base::bits::RoundUpToPowerOfTwo32(unsigned int)
      2    0.0%    0.0%  v8::Value::ToObject(v8::Local<v8::Context>) const
      2    0.0%    0.0%  v8::Object::SetPrototype(v8::Local<v8::Context>, v8::Local<v8::Value>)
      2    0.0%    0.0%  v8::Object::Set(v8::Local<v8::Context>, v8::Local<v8::Value>, v8::Local<v8::Value>)
      2    0.0%    0.0%  v8::ArrayBuffer::New(v8::Isolate*, void*, unsigned int, v8::ArrayBufferCreationMode)
      2    0.0%    0.0%  uv_run
      2    0.0%    0.0%  uv__read
      2    0.0%    0.0%  std::_Hashtable<v8::internal::JSArrayBuffer*, std::pair<v8::internal::JSArrayBuffer* const, unsigned int>, std::allocator<std::pair<v8::internal::JSArrayBuffer* const, unsigned int> >, std::__detail::_Select1st, std::equal_to<v8::internal::JSArrayBuffer*>, v8::internal::LocalArrayBufferTracker::Hasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned int, unsigned int, std::__detail::_Hash_node<std::pair<v8::internal::JSArrayBuffer* const, unsigned int>, true>*)
      2    0.0%    0.0%  node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::StreamBase::CallJSOnreadMethod(int, v8::Local<v8::Object>)
      2    0.0%    0.0%  node::Exit(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::Environment::CheckImmediate(uv_check_s*)
      2    0.0%    0.0%  node::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::AsyncWrap::EmitBefore(node::Environment*, double)
      2    0.0%    0.0%  ceil
      2    0.0%    0.0%  bool v8::internal::MarkBit::Set<(v8::internal::AccessMode)0>()
      2    0.0%    0.0%  __mprotect
      2    0.0%    0.0%  __aeabi_uldivmod
      2    0.0%    0.0%  __aeabi_ul2d
      1    0.0%    0.0%  void v8::internal::LookupIterator::Start<true>()
      1    0.0%    0.0%  void v8::internal::LocalArrayBufferTracker::Process<v8::internal::ArrayBufferTracker::ProcessBuffers(v8::internal::Page*, v8::internal::ArrayBufferTracker::ProcessingMode)::{lambda(v8::internal::JSArrayBuffer*, v8::internal::JSArrayBuffer**)#1}>(v8::internal::ArrayBufferTracker::ProcessBuffers(v8::internal::Page*, v8::internal::ArrayBufferTracker::ProcessingMode)::{lambda(v8::internal::JSArrayBuffer*, v8::internal::JSArrayBuffer**)#1})
      1    0.0%    0.0%  void std::vector<v8::internal::compiler::Node*, v8::internal::ZoneAllocator<v8::internal::compiler::Node*> >::_M_emplace_back_aux<v8::internal::compiler::Node*>(v8::internal::compiler::Node*&&)
      1    0.0%    0.0%  void std::vector<v8::internal::Handle<v8::internal::Object>, v8::internal::ZoneAllocator<v8::internal::Handle<v8::internal::Object> > >::_M_emplace_back_aux<v8::internal::Handle<v8::internal::Object> const&>(v8::internal::Handle<v8::internal::Object> const&)
      1    0.0%    0.0%  void std::vector<v8::internal::Handle<v8::internal::HeapObject>, v8::internal::ZoneAllocator<v8::internal::Handle<v8::internal::HeapObject> > >::_M_emplace_back_aux<v8::internal::Handle<v8::internal::HeapObject> const&>(v8::internal::Handle<v8::internal::HeapObject> const&)
      1    0.0%    0.0%  void std::vector<v8::internal::GlobalHandles::Node*, std::allocator<v8::internal::GlobalHandles::Node*> >::_M_emplace_back_aux<v8::internal::GlobalHandles::Node* const&>(v8::internal::GlobalHandles::Node* const&)
      1    0.0%    0.0%  void std::vector<unsigned char, v8::internal::ZoneAllocator<unsigned char> >::emplace_back<unsigned char>(unsigned char&&)
      1    0.0%    0.0%  void std::__unguarded_linear_insert<v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Val_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> > >(v8::base::AtomicElement<v8::internal::Smi*>*, __gnu_cxx::__ops::_Val_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> >)
      1    0.0%    0.0%  void std::__introsort_loop<v8::base::AtomicElement<v8::internal::Smi*>*, int, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> > >(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, int, __gnu_cxx::__ops::_Iter_comp_iter<v8::internal::EnumIndexComparator<v8::internal::NameDictionary> >)
      1    0.0%    0.0%  v8::internal::interpreter::Interpreter::LookupNameOfBytecodeHandler(v8::internal::Code*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterListFreeEvent(v8::internal::interpreter::RegisterList)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeRegisterOptimizer::Materialize(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::VisitUnaryOperation(v8::internal::UnaryOperation*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::VisitNoStackOverflowCheck(v8::internal::AstNode*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::VisitNaryArithmeticExpression(v8::internal::NaryOperation*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::VisitForEffect(v8::internal::Expression*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::VisitAndPushIntoRegisterList(v8::internal::Expression*, v8::internal::interpreter::RegisterList*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeGenerator::FinalizeBytecode(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Script>)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeDecoder::DecodeRegisterOperand(unsigned int, v8::internal::interpreter::OperandType, v8::internal::interpreter::OperandScale)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayWriter::Write(v8::internal::interpreter::BytecodeNode*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayWriter::BindLabel(v8::internal::interpreter::BytecodeLabel*)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayRandomIterator::IsValid() const
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayBuilder::JumpIfNil(v8::internal::interpreter::BytecodeLabel*, v8::internal::Token::Value, v8::internal::interpreter::BytecodeArrayBuilder::NilValue)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayAccessor::current_bytecode() const
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayAccessor::SetOffset(int)
      1    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayAccessor::GetRegisterOperand(int) const
      1    0.0%    0.0%  v8::internal::compiler::operator!=(v8::internal::compiler::SparseInputMask const&, v8::internal::compiler::SparseInputMask const&)
      1    0.0%    0.0%  v8::internal::compiler::Typer::Visitor::TypeHeapConstant(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::Typer::Decorator::Decorate(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::TypedOptimization::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::Type::NormalizeUnion(v8::internal::compiler::UnionType*, int, v8::internal::Zone*)
      1    0.0%    0.0%  v8::internal::compiler::Type::IsInteger(v8::internal::Object*)
      1    0.0%    0.0%  v8::internal::compiler::StateValuesCache::GetValuesNodeFromCache(v8::internal::compiler::Node**, unsigned int, v8::internal::compiler::SparseInputMask)
      1    0.0%    0.0%  v8::internal::compiler::StateValuesCache::GetNodeForValues(v8::internal::compiler::Node**, unsigned int, v8::internal::BitVector const*, int)
      1    0.0%    0.0%  v8::internal::compiler::StateValuesCache::BuildTree(unsigned int*, v8::internal::compiler::Node**, unsigned int, v8::internal::BitVector const*, int, unsigned int)
      1    0.0%    0.0%  v8::internal::compiler::StateValuesCache::AreKeysEqual(void*, void*)
      1    0.0%    0.0%  v8::internal::compiler::SimplifiedOperatorBuilder::CheckMaps(v8::base::Flags<v8::internal::compiler::CheckMapsFlag, int>, v8::internal::ZoneHandleSet<v8::internal::Map>, v8::internal::VectorSlotPair const&)
      1    0.0%    0.0%  v8::internal::compiler::RegisterAllocationData::NewLiveRange(int, v8::internal::MachineRepresentation)
      1    0.0%    0.0%  v8::internal::compiler::Operator::Operator(unsigned short, v8::base::Flags<v8::internal::compiler::Operator::Property, unsigned char>, char const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
      1    0.0%    0.0%  v8::internal::compiler::NodeProperties::ReplaceUses(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::NodeProperties::IsEffectEdge(v8::internal::compiler::Edge)
      1    0.0%    0.0%  v8::internal::compiler::NodeProperties::InferReceiverMaps(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::ZoneHandleSet<v8::internal::Map>*)
      1    0.0%    0.0%  v8::internal::compiler::NodeProperties::GetEffectInput(v8::internal::compiler::Node*, int)
      1    0.0%    0.0%  v8::internal::compiler::NodeProperties::GetControlInput(v8::internal::compiler::Node*, int)
      1    0.0%    0.0%  v8::internal::compiler::NodeProperties::FindFrameStateBefore(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      1    0.0%    0.0%  v8::internal::compiler::Node::Kill()
      1    0.0%    0.0%  v8::internal::compiler::NamedAccessOf(v8::internal::compiler::Operator const*)
      1    0.0%    0.0%  v8::internal::compiler::LiveRange::FirstIntersection(v8::internal::compiler::LiveRange*) const
      1    0.0%    0.0%  v8::internal::compiler::JSTypeHintLowering::ReduceBinaryOperation(v8::internal::compiler::Operator const*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::FeedbackSlot) const
      1    0.0%    0.0%  v8::internal::compiler::JSOperatorBuilder::Call(unsigned int, v8::internal::compiler::CallFrequency const&, v8::internal::VectorSlotPair const&, v8::internal::ConvertReceiverMode, v8::internal::SpeculationMode)
      1    0.0%    0.0%  v8::internal::compiler::JSNativeContextSpecialization::ReduceNamedAccess(v8::internal::compiler::Node*, v8::internal::compiler::Node*, std::vector<v8::internal::Handle<v8::internal::Map>, std::allocator<v8::internal::Handle<v8::internal::Map> > > const&, v8::internal::Handle<v8::internal::Name>, v8::internal::compiler::AccessMode, v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::JSNativeContextSpecialization::ReduceElementAccess(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, std::vector<v8::internal::Handle<v8::internal::Map>, std::allocator<v8::internal::Handle<v8::internal::Map> > > const&, v8::internal::compiler::AccessMode, v8::internal::KeyedAccessLoadMode, v8::internal::KeyedAccessStoreMode)
      1    0.0%    0.0%  v8::internal::compiler::JSNativeContextSpecialization::BuildPropertyAccess(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::Handle<v8::internal::Name>, v8::internal::ZoneVector<v8::internal::compiler::Node*>*, v8::internal::compiler::PropertyAccessInfo const&, v8::internal::compiler::AccessMode)
      1    0.0%    0.0%  v8::internal::compiler::JSInliner::InlineCall(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::ZoneVector<v8::internal::compiler::Node*> const&)
      1    0.0%    0.0%  v8::internal::compiler::JSGraph::Constant(int)
      1    0.0%    0.0%  v8::internal::compiler::JSCallReducer::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::GraphReducer::Revisit(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::GraphReducer::ReplaceWithValue(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::GraphReducer::Replace(v8::internal::compiler::Node*, v8::internal::compiler::Node*, unsigned int)
      1    0.0%    0.0%  v8::internal::compiler::GraphReducer::ReduceNode(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::Graph::NewNode(v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      1    0.0%    0.0%  v8::internal::compiler::Graph::AddDecorator(v8::internal::compiler::GraphDecorator*)
      1    0.0%    0.0%  v8::internal::compiler::GapResolver::PerformMove(v8::internal::compiler::ParallelMove*, v8::internal::compiler::MoveOperands*)
      1    0.0%    0.0%  v8::internal::compiler::FieldAccessOf(v8::internal::compiler::Operator const*)
      1    0.0%    0.0%  v8::internal::compiler::EscapeAnalysis::Reduce(v8::internal::compiler::Node*, v8::internal::compiler::EffectGraphReducer::Reduction*)
      1    0.0%    0.0%  v8::internal::compiler::DeadCodeElimination::ReduceNode(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::DeadCodeElimination::ReduceEffectNode(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::DeadCodeElimination::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::CommonOperatorReducer::ReduceMerge(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::CommonOperatorBuilder::FrameState(v8::internal::BailoutId, v8::internal::compiler::OutputFrameStateCombine, v8::internal::compiler::FrameStateFunctionInfo const*)
      1    0.0%    0.0%  v8::internal::compiler::CommonOperatorBuilder::Deoptimize(v8::internal::DeoptimizeKind, v8::internal::DeoptimizeReason, v8::internal::VectorSlotPair const&)
      1    0.0%    0.0%  v8::internal::compiler::CodeAssemblerState::CodeAssemblerState(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::CallInterfaceDescriptor const&, v8::internal::Code::Kind, char const*, v8::internal::PoisoningMitigationLevel, unsigned int, unsigned int, int)
      1    0.0%    0.0%  v8::internal::compiler::CheckpointElimination::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  v8::internal::compiler::BytecodeLivenessMap::InitializeLiveness(int, int, v8::internal::Zone*)
      1    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::VisitSubSmi()
      1    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::VisitLdaSmi()
      1    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::VisitLdaNamedProperty()
      1    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::Environment::Copy()
      1    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::Environment::BindAccumulator(v8::internal::compiler::Node*, v8::internal::compiler::BytecodeGraphBuilder::Environment::FrameStateAttachmentMode) [clone .constprop.246]
      1    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::BuildLoopHeaderEnvironment(int)
      1    0.0%    0.0%  v8::internal::compiler::AccessInfoFactory::ComputePropertyAccessInfo(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::compiler::AccessMode, v8::internal::compiler::PropertyAccessInfo*)
      1    0.0%    0.0%  v8::internal::compiler::(anonymous namespace)::UpdateLiveness(v8::internal::interpreter::Bytecode, v8::internal::compiler::BytecodeLiveness&, v8::internal::compiler::BytecodeLivenessState**, v8::internal::interpreter::BytecodeArrayAccessor const&, v8::internal::compiler::BytecodeLivenessMap const&)
